month,Boiler (Longhouse + Ed. Center),"CFS Furnaces (1, 2, 3)",Gym Furnace,ECC DHW,Elder Center Stove,ECC Stove,Kitchen Stove
1,2066.266666666667,562.0,45.1,97.09999999999998,453.3,32.4,6.5
2,1975.5333333333333,537.4,43.13333333333333,97.09999999999998,453.3,32.4,6.5
3,1848.3666666666666,502.79999999999995,40.36666666666667,97.09999999999998,453.3,32.4,6.5
4,1201.2,326.8,26.233333333333334,97.09999999999998,453.3,32.4,6.5
5,841.4333333333333,228.89999999999998,18.400000000000002,97.09999999999998,453.3,32.4,6.5
6,403.5,109.80000000000001,8.799999999999999,97.09999999999998,453.3,32.4,6.5
7,189.53333333333336,51.5,4.133333333333333,97.09999999999998,453.3,32.4,6.5
8,260.20000000000005,70.7,5.7,97.09999999999998,453.3,32.4,6.5
9,397.26666666666665,108.1,8.666666666666666,97.09999999999998,453.3,32.4,6.5
10,923.1,251.10000000000002,20.166666666666668,97.09999999999998,453.3,32.4,6.5
11,1624.1666666666665,441.79999999999995,35.46666666666667,97.09999999999998,453.3,32.4,6.5
12,2066.266666666667,562.0,45.1,97.09999999999998,453.3,32.4,6.5
